GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
0400000US23,Maine,1338404,*****,1261453,1633,18954,1759,8566,1165,15683,1312,465,455,3264,1154,30019,2649,2069,1061,27950,2547
0400000US37,North Carolina,10383620,*****,7098569,17927,2222533,13581,120845,4394,306682,5178,10218,3234,326630,16675,298143,13105,29877,4678,268266,11786
0400000US13,Georgia,10519475,*****,6127645,17468,3319691,14563,34485,5808,436051,6106,14049,5305,301148,17722,286406,13656,43573,5160,242833,12034
0400000US02,Alaska,737438,*****,474555,3233,25197,1976,111371,3747,46381,2635,7958,1583,9780,2618,62196,4631,3699,1298,58497,4720
0400000US01,Alabama,4887871,*****,3306838,7059,1307040,7036,22063,2712,65095,3494,1797,889,84027,7439,101011,7687,8348,2314,92663,7070
0400000US50,Vermont,626299,*****,589337,1241,7621,1306,1743,729,11859,1196,139,220,2815,938,12785,1710,425,356,12360,1690
0400000US32,Nevada,3034392,*****,1924976,16699,280385,7032,44666,3794,250137,5954,19612,1707,358786,16689,155830,9895,27270,4338,128560,8891
0400000US54,West Virginia,1805832,*****,1679773,2458,68679,2800,2629,839,13459,2008,451,352,6430,2273,34411,2884,1177,499,33234,2847
0400000US40,Oklahoma,3943079,*****,2845906,8621,287680,5620,307183,5707,84694,2903,3859,1187,110013,8511,303744,9210,14144,2205,289600,8772
0400000US55,Wisconsin,5813568,*****,4957243,8755,370632,6232,50364,2531,165380,4021,1961,533,121475,8843,146513,8731,14802,2647,131711,8308
0400000US72,Puerto Rico,3195153,*****,2079304,22148,400936,17309,4013,1404,5144,1803,767,976,551773,17132,153216,9563,10771,1808,142445,9263
0400000US51,Virginia,8517685,*****,5737580,15329,1631512,12981,22265,3362,555422,8506,5659,1226,215743,13057,349504,14736,34203,5980,315301,14623
0400000US38,North Dakota,760077,*****,651687,2325,25896,1992,41270,2276,13749,2149,339,360,9569,2523,17567,2421,907,507,16660,2364
0400000US45,South Carolina,5084127,*****,3407706,8711,1353599,9419,23672,4704,80969,3690,4004,1941,92980,8350,121197,9549,14653,3111,106544,9316
0400000US41,Oregon,4190713,*****,3514983,11797,82046,3979,49051,4039,190680,5297,18758,1929,137973,11792,197222,8160,26180,4163,171042,7421
0400000US56,Wyoming,577737,*****,528453,2729,3667,1164,16185,1713,5807,1077,1111,877,8798,2427,13716,2127,1710,958,12006,1916
0400000US06,California,39557045,*****,23535388,66698,2283850,14690,302792,11731,5821585,21930,155739,5748,5453229,70977,2004462,33391,440705,16381,1563757,27461
0400000US28,Mississippi,2986530,*****,1735455,3704,1135599,6445,13234,1602,26142,2250,1372,948,29778,4251,44950,5616,3213,1094,41737,5390
0400000US09,Connecticut,3572665,*****,2688136,12828,391552,6600,9507,2116,165855,2587,1017,764,195208,12191,121390,7616,22099,3172,99291,7110
0400000US48,Texas,28701845,*****,21099066,40621,3527027,21372,149997,12706,1430857,9655,21463,3103,1709445,37101,763990,22649,153690,9192,610300,18538
0400000US24,Maryland,6042718,*****,3305047,13606,1810885,9157,13433,2118,378985,6008,7311,4478,304042,15437,223015,10957,27473,5260,195542,10594
0400000US12,Florida,21299325,*****,15899574,36490,3410741,19720,59870,6097,593634,8233,12841,2297,708740,33569,613925,21526,98267,8564,515658,18966
0400000US25,Massachusetts,6902149,*****,5335175,17166,537523,9047,16198,3481,472403,6144,2775,899,303331,15326,234744,12591,40480,5905,194264,12417
0400000US11,District of Columbia,702455,*****,296747,4449,319777,4282,1932,589,27538,1377,397,171,30897,5312,25167,2776,3722,1305,21445,2461
0400000US49,Utah,3161105,*****,2708195,10034,40365,3450,34678,3615,75898,3242,29362,2108,171456,10855,101151,6568,18253,3974,82898,5317
0400000US36,New York,19542209,*****,12375601,34083,3069259,17064,84312,6183,1666113,12409,9424,2807,1689845,40232,647655,24504,152400,12747,495255,20870
0400000US34,New Jersey,8908520,*****,5956539,22413,1207995,12788,21131,4530,868213,6049,2909,1258,604334,26210,247399,16035,54021,7838,193378,13292
0400000US39,Ohio,11689442,*****,9470940,10859,1446306,12633,25672,3171,271762,5995,4228,1490,112136,8017,358398,15444,26393,3581,332005,14886
0400000US29,Missouri,6126452,*****,5035197,7994,704327,6416,27705,3183,121417,3689,7385,1417,56557,6735,173864,7671,8623,1859,165241,7443
0400000US42,Pennsylvania,12807060,*****,10256084,17296,1428406,12545,21418,2246,455027,6288,5008,1684,307572,16186,333545,13725,39279,5630,294266,11865
0400000US26,Michigan,9995915,*****,7825285,9602,1376751,8453,53012,3871,325828,5390,3907,870,118467,9068,292665,10365,25572,2964,267093,10161
0400000US31,Nebraska,1929268,*****,1666990,5467,91221,3894,18555,3043,45779,2151,1289,752,46473,4917,58961,5128,8697,2650,50264,4685
0400000US16,Idaho,1754208,*****,1576846,8264,12075,3292,23026,2838,27026,2610,2763,1450,59217,7449,53255,5086,11073,2912,42182,4688
0400000US35,New Mexico,2095428,*****,1599938,12680,46064,3269,200659,4124,34155,2409,2465,1113,144961,10667,67186,5531,22278,3477,44908,3922
0400000US15,Hawaii,1420491,*****,345652,4853,28325,1615,3237,935,534479,10657,144971,5304,18052,3227,345775,12027,12113,3022,333662,12376
0400000US46,South Dakota,882235,*****,740870,2352,19057,2158,78068,2871,15023,2237,51,77,5782,1672,23384,3663,750,514,22634,3643
0400000US53,Washington,7535591,*****,5633263,17384,291808,8442,97329,6465,661781,8253,53924,2794,344853,17208,452633,15689,47039,5560,405594,14154
0400000US44,Rhode Island,1057315,*****,852805,9123,70749,3938,4341,1447,36064,1723,883,901,59743,7937,32730,3451,5439,1697,27291,3254
0400000US04,Arizona,7171646,*****,5590505,22425,336340,7735,330599,8933,237873,5191,15661,1992,373688,19089,286980,13897,49912,5469,237068,12794
0400000US47,Tennessee,6770010,*****,5235588,10176,1137801,10728,19136,2676,119046,4317,5494,2158,101153,10106,151792,8781,11108,2031,140684,8272
0400000US20,Kansas,2911510,*****,2446823,8485,171141,6032,26829,2776,82444,3810,2929,2017,73293,8142,108051,7339,8624,1860,99427,7260
0400000US08,Colorado,5695564,*****,4790677,16307,237578,6469,55146,4414,180277,5175,7585,1614,196831,13409,227470,10949,36851,5349,190619,9567
0400000US18,Indiana,6691878,*****,5539927,11682,637277,7405,14040,2057,154220,5521,3470,1344,162303,10635,180641,10300,26544,4274,154097,9248
0400000US21,Kentucky,4468402,*****,3875023,6230,354761,6583,8470,2041,65300,3463,4943,2544,51887,6124,108018,7125,8692,1997,99326,7122
0400000US22,Louisiana,4659978,*****,2877115,7740,1509407,8957,25657,3334,76255,3102,1133,750,65366,7711,105045,7750,8882,1900,96163,7674
0400000US17,Illinois,12741080,*****,9135145,26772,1793079,10015,35846,4591,717938,6617,5317,1835,712778,25545,340977,12577,58127,6210,282850,10833
0400000US19,Iowa,3156145,*****,2846099,5629,115137,4782,11494,1274,79971,3082,3463,1362,30713,5286,69268,5586,5470,1565,63798,5149
0400000US33,New Hampshire,1356458,*****,1253931,3132,23432,2654,3562,1387,36048,2303,515,486,9013,2733,29957,3259,1893,768,28064,3291
0400000US05,Arkansas,3013825,*****,2306096,6922,456714,6073,20951,2557,47548,2631,9398,1053,84917,6739,88201,5889,7476,1775,80725,5426
0400000US10,Delaware,967171,*****,659781,4626,217594,3408,4397,1388,39023,1595,896,665,19652,4198,25828,3640,2602,1157,23226,3257
0400000US27,Minnesota,5611179,*****,4629375,8116,367653,5713,60983,3622,273126,4461,2396,1082,102814,7851,174832,8688,13691,2799,161141,8035
0400000US30,Montana,1062305,*****,941438,2221,5056,999,68013,2885,8517,1308,990,648,5828,1858,32463,3362,2651,934,29812,3090